Betweeness Centrality on all courses within file

The betweenness centrality of START is 0
The betweenness centrality of END is 0
The betweenness centrality of AAS 100 is 2
The betweenness centrality of AAS 105 is 0.000256016
The betweenness centrality of AAS 120 is 1
The betweenness centrality of AAS 200 is 0.000256016
The betweenness centrality of AAS 201 is 0.000256016
The betweenness centrality of AAS 215 is 0.94359
The betweenness centrality of AFRO 100 is 9.5
The betweenness centrality of AIS 101 is 1
The betweenness centrality of GWS 250 is 0
The betweenness centrality of LLS 100 is 8
The betweenness centrality of AAS 246 is 0.000256016
The betweenness centrality of AAS 258 is 0.000256016
The betweenness centrality of AAS 260 is 0.000256016
The betweenness centrality of AAS 265 is 0.000256016
The betweenness centrality of AAS 275 is 0.000256016
The betweenness centrality of AAS 281 is 0.000256016
The betweenness centrality of AAS 282 is 0.000256016
The betweenness centrality of AAS 283 is 0.000256016
The betweenness centrality of AAS 297 is 0.000256016
The betweenness centrality of AAS 299 is 0.000256016
The betweenness centrality of AAS 300 is 0.000256016
The betweenness centrality of AAS 310 is 0.000256016
The betweenness centrality of AAS 343 is 0.000256016
The betweenness centrality of AAS 355 is 0.000256016
The betweenness centrality of AAS 357 is 0.000256016
The betweenness centrality of AAS 365 is 0.000256016
The betweenness centrality of AAS 375 is 0.000256016
The betweenness centrality of AAS 400 is 0.000256016
The betweenness centrality of AAS 402 is 0.000256016
The betweenness centrality of AAS 465 is 0.000256016
The betweenness centrality of AAS 479 is 0.1
The betweenness centrality of AAS 490 is 0.166667
The betweenness centrality of AAS 501 is 0.000256016
The betweenness centrality of AAS 561 is 0.000256016
The betweenness centrality of AAS 589 is 0.000256016
The betweenness centrality of AAS 590 is 0.000256016
The betweenness centrality of ABE 100 is 0.000256016
The betweenness centrality of ABE 141 is 0.000256016
The betweenness centrality of ABE 199 is 0.000256016
The betweenness centrality of ABE 223 is 8.75
The betweenness centrality of MATH 220 is 329.704
The betweenness centrality of MATH 221 is 323.204
The betweenness centrality of MATH 234 is 16.9413
The betweenness centrality of ABE 224 is 9
The betweenness centrality of ABE 225 is 1
The betweenness centrality of ABE 226 is 1
The betweenness centrality of ABE 232 is 0.000256016
The betweenness centrality of ABE 341 is 4.5
The betweenness centrality of PHYS 213 is 55.9167
The betweenness centrality of ABE 361 is 6.08333
The betweenness centrality of TAM 212 is 621.781
The betweenness centrality of ABE 397 is 0.000256016
The betweenness centrality of ABE 424 is 2.37268
The betweenness centrality of ABE 415 is 0
The betweenness centrality of ABE 440 is 0.5
The betweenness centrality of CS 125 is 162.238
The betweenness centrality of IE 300 is 50.0833
The betweenness centrality of MATH 225 is 154.541
The betweenness centrality of MATH 285 is 430.203
The betweenness centrality of STAT 400 is 154.194
The betweenness centrality of ABE 425 is 3.48571
The betweenness centrality of ECE 205 is 38.4377
The betweenness centrality of ABE 430 is 0.000256016
The betweenness centrality of ABE 436 is 0.0714286
The betweenness centrality of PHYS 211 is 232.148
The betweenness centrality of MATH 112 is 77.096
The betweenness centrality of ABE 445 is 0.1
The betweenness centrality of CPSC 440 is 19.3333
The betweenness centrality of ABE 446 is 0.0833333
The betweenness centrality of MCB 150 is 82.7833
The betweenness centrality of ABE 452 is 0.000256016
The betweenness centrality of ABE 455 is 2.02885
The betweenness centrality of CEE 350 is 109.75
The betweenness centrality of CEE 380 is 114
The betweenness centrality of NRES 201 is 57
The betweenness centrality of NRES 401 is 1
The betweenness centrality of ABE 456 is 0.0666667
The betweenness centrality of TAM 335 is 375.083
The betweenness centrality of ABE 457 is 14
The betweenness centrality of ABE 458 is 1
The betweenness centrality of ABE 459 is 0.0666667
The betweenness centrality of ABE 466 is 2
The betweenness centrality of ME 300 is 0
The betweenness centrality of ABE 469 is 1.58333
The betweenness centrality of CHBE 421 is 105.267
The betweenness centrality of ME 370 is 105.25
The betweenness centrality of ABE 474 is 1.41667
The betweenness centrality of CHBE 321 is 84.25
The betweenness centrality of ABE 476 is 0.614286
The betweenness centrality of ABE 483 is 0.000256016
The betweenness centrality of ABE 488 is 0.55
The betweenness centrality of ME 200 is 74.6583
The betweenness centrality of ABE 497 is 0.000256016
The betweenness centrality of ABE 498 is 0.000256016
The betweenness centrality of ABE 501 is 0.000256016
The betweenness centrality of ABE 532 is 0.000256016
The betweenness centrality of ABE 594 is 0.000256016
The betweenness centrality of ABE 597 is 0.000256016
The betweenness centrality of ABE 598 is 0.000256016
The betweenness centrality of ABE 599 is 0.000256016
The betweenness centrality of ACCY 199 is 0.000256016
The betweenness centrality of ACCY 200 is 0.000256016
The betweenness centrality of ACCY 201 is 54.8667
The betweenness centrality of ECON 102 is 69.6317
The betweenness centrality of ECON 103 is 28.0444
The betweenness centrality of ACCY 202 is 57.8667
The betweenness centrality of ACCY 290 is 1.5
The betweenness centrality of ACCY 301 is 32.6
The betweenness centrality of ACCY 302 is 37.4
The betweenness centrality of BADM 210 is 26.1333
The betweenness centrality of ACCY 303 is 31
The betweenness centrality of FIN 221 is 233.233
The betweenness centrality of ACCY 304 is 32
The betweenness centrality of ACCY 312 is 35
The betweenness centrality of ACCY 321 is 0.0588235
The betweenness centrality of PS 101 is 18
The betweenness centrality of ACCY 398 is 0.000256016
The betweenness centrality of ACCY 405 is 11
The betweenness centrality of ACCY 410 is 23
The betweenness centrality of ACCY 415 is 3
The betweenness centrality of ACCY 451 is 38
The betweenness centrality of ACCY 499 is 0.000256016
The betweenness centrality of ACCY 500 is 7
The betweenness centrality of ACCY 507 is 4
The betweenness centrality of ACCY 501 is 6
The betweenness centrality of ACCY 502 is 4
The betweenness centrality of ACCY 503 is 0.333333
The betweenness centrality of ACCY 504 is 0.333333
The betweenness centrality of ACCY 505 is 2
The betweenness centrality of ACCY 506 is 0.666667
The betweenness centrality of ACCY 510 is 1
The betweenness centrality of ACCY 512 is 0.000256016
The betweenness centrality of ACCY 515 is 1
The betweenness centrality of ACCY 516 is 0.000256016
The betweenness centrality of ACCY 517 is 4.33333
The betweenness centrality of ACCY 518 is 0.000256016
The betweenness centrality of ACCY 550 is 0.5
The betweenness centrality of ACCY 551 is 1
The betweenness centrality of ACCY 556 is 0
The betweenness centrality of ACCY 552 is 1
The betweenness centrality of ACCY 554 is 0.5
The betweenness centrality of ACCY 569 is 0.000256016
The betweenness centrality of ACCY 570 is 1
The betweenness centrality of ACCY 571 is 0.000256016
The betweenness centrality of ACCY 574 is 0.000256016
The betweenness centrality of ACCY 575 is 1
The betweenness centrality of ACCY 576 is 2
The betweenness centrality of ACCY 577 is 0.5
The betweenness centrality of ACCY 578 is 0.5
The betweenness centrality of ACCY 590 is 0.000256016
The betweenness centrality of ACCY 592 is 1
The betweenness centrality of ACCY 593 is 0.000256016
The betweenness centrality of ACCY 594 is 1
The betweenness centrality of ACCY 599 is 0.000256016
The betweenness centrality of ACE 100 is 5.86667
The betweenness centrality of ACE 161 is 1
The betweenness centrality of ACE 199 is 0.000256016
The betweenness centrality of ACE 203 is 0.000256016
The betweenness centrality of ACE 210 is 1
The betweenness centrality of ACE 222 is 2.66667
The betweenness centrality of ACE 231 is 1
The betweenness centrality of ACE 232 is 1
The betweenness centrality of ACE 240 is 3.33333
The betweenness centrality of ACE 251 is 0.194444
The betweenness centrality of ACE 254 is 0.000256016
The betweenness centrality of ACE 255 is 0.000256016
The betweenness centrality of ACE 261 is 17
The betweenness centrality of MATH 124 is 14.5
The betweenness centrality of MATH 125 is 8.5
The betweenness centrality of ACE 262 is 0
The betweenness centrality of ACE 264 is 3
The betweenness centrality of ACE 270 is 0.000256016
The betweenness centrality of ACE 291 is 0.000256016
The betweenness centrality of ACE 293 is 0.000256016
The betweenness centrality of ACE 294 is 0.000256016
The betweenness centrality of ACE 295 is 0.000256016
The betweenness centrality of ACE 300 is 9
The betweenness centrality of ACE 306 is 0.000256016
The betweenness centrality of ACE 310 is 0.194444
The betweenness centrality of ACE 321 is 0.0588235
The betweenness centrality of ACE 335 is 0.000256016
The betweenness centrality of ACE 341 is 0.000256016
The betweenness centrality of ACE 345 is 7
The betweenness centrality of ACE 346 is 1
The betweenness centrality of ACE 360 is 7
The betweenness centrality of CS 105 is 22.3556
The betweenness centrality of ACE 396 is 0.000256016
The betweenness centrality of ACE 398 is 0.333333
The betweenness centrality of ACE 403 is 0.000256016
The betweenness centrality of ACE 406 is 0.000256016
The betweenness centrality of ACE 410 is 0.333333
The betweenness centrality of ACE 411 is 0.000256016
The betweenness centrality of ACE 427 is 1.19444
The betweenness centrality of ACE 428 is 0.238095
The betweenness centrality of FIN 300 is 75
The betweenness centrality of ACE 430 is 0.361111
